x,y,codid,direccion,localidad,tipointer,disppdm,fechaimplementacion
-74.108124569999973,4.563617410000063,1422,AV DARIO ECHANDIA (KR 10) X CL 43 S,RAFAEL URIBE,"VEHICULAR, PEATONAL",SIN,2015-03-19
-74.155339009999977,4.669560070000046,1381,KR 104 X DG 15A,FONTIBON,"VEHICULAR, PEATONAL","BOTON, SONORO",2015-02-03
-74.07274259999997,4.637431190000029,431,KR 21 X CL 49,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-28
-74.070661749999942,4.637116690000028,382,KR 18 X CL 49,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-29
-74.070000169999958,4.637001010000063,368,KR 17 X CL 49,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-29
-74.072489119999943,4.638449030000061,425,KR 21 X CL 50,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-10
-74.072323999999981,4.63942878000006,420,KR 21 X CL 51,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-10
-74.072115632999953,4.640386180000064,414,KR 21 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2000-08-11
-74.071347169999967,4.645094450000045,395,KR 21 X AV GILBERTO ALZATE AVENDANO (AC 57),TEUSAQUILLO,VEHICULAR,SIN,1983-06-26
-74.070643169999983,4.64497152000007,381,KR 20 X AV GILBERTO ALZATE AVENDANO (AC 57),TEUSAQUILLO,VEHICULAR,SIN,1994-11-16
-74.071838449999973,4.648429460000045,406,TV 22A X DG 61B,TEUSAQUILLO,VEHICULAR,SIN,1983-06-22
-74.068710529999976,4.64776267000002,337,KR 18 X CL 60,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2000-06-28
-74.069852639999965,4.649327790000029,363,KR 20 X DG 61B,TEUSAQUILLO,VEHICULAR,SIN,1984-04-10
-74.069323989999987,4.64952057000005,349,KR 19A X DG 61B,TEUSAQUILLO,VEHICULAR,SIN,1994-11-16
-74.075370909999947,4.645787030000065,491,TV 28 X AV GILBERTO ALZATE AVENDANO (AC 57),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1997-08-03
-74.073739039999964,4.643108420000033,453,AV COLOMBIA (TV 24) X CL 53B,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1990-07-01
-74.073614769999949,4.643389870000021,450,AV COLOMBIA (TV 24) X DG 53C,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1990-07-01
-74.073396659999958,4.645431620000068,444,TV 25 X AV GILBERTO ALZATE AVENDANO (AC 57),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1993-06-17
-74.074086509999972,4.647369600000047,463,AK 24 X DG 61C,TEUSAQUILLO,VEHICULAR,SIN,1987-09-25
-74.073525789999962,4.648062810000056,449,AV COLOMBIA (AK 24) X DG 61D,TEUSAQUILLO,VEHICULAR,SIN,1993-08-26
-74.073125769999933,4.647586580000052,439,AV COLOMBIA (TV 24) X DG 61B,TEUSAQUILLO,VEHICULAR,SIN,1993-08-26
-74.071546779999949,4.643820900000037,398,KR 21 X DG 54,TEUSAQUILLO,VEHICULAR,SIN,1998-06-30
-74.089155829999982,4.633987840000032,593,AV PEDRO LEON TRABUCHY (AK 40) X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-08-25
-74.090383249999945,4.642521130000034,603,AV BATALLON CALDAS (AK 50) X CL 44,TEUSAQUILLO,"VEHICULAR, PEATONAL, BICIUSUARIOS",SIN,1998-06-25
-74.081765799999971,4.586593730000061,953,KR 7 X AV DE LA HORTUA (CL 1),SANTA FE,"VEHICULAR, PEATONAL",SIN,1989-09-13
-74.082929659999934,4.587436780000076,954,KR 8 X AV DE LA HORTUA (CL 1),SANTA FE,"VEHICULAR, PEATONAL",SIN,1989-09-13
-74.084928529999956,4.589369470000065,956,AV FERNANDO MAZUERA (AK 10) X AV DE LA HORTUA (CL 1),SANTA FE,"VEHICULAR, PEATONAL",SIN,2004-07-01
-74.090982321999945,4.625575145000028,608,AV CUNDINAMARCA (AK 36) X AV DE LAS AMERICAS (AC 20),PUENTE ARANDA,"VEHICULAR, PEATONAL",SIN,1983-06-24
-74.09100393999995,4.628187210000021,607,KR 37 X AV DE LA ESPERANZA (AC 24),TEUSAQUILLO,VEHICULAR,SIN,1993-03-11
-74.092841289999967,4.630882790000044,617,AV PEDRO LEON TRABUCHY (AK 40) X AV DE LA ESPERANZA (AC 24),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1995-01-27
-74.090274449999981,4.632614410000031,601,AV PEDRO LEON TRABUCHY (AK 40) X CL 25,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1995-03-11
-74.086723279999944,4.62764825000005,577,KR 33 X CL 25,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-12-02
-74.088274749999982,4.629963640000028,588,KR 37 X CL 25,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1995-02-05
-74.078696569999977,4.599212580000028,525,AV FERNANDO MAZUERA (AK 10) X CL 10,CANDELARIA,EXCLUSIVA PEATONAL,SIN,1993-11-08
-74.070590519999939,4.591536200000064,943,AV PATRICIO SAMPER GNECCO (KR 3 ESTE) X CL 7,CANDELARIA,"VEHICULAR, PEATONAL",SIN,2004-10-07
-74.070229789999985,4.592068960000063,942,AV PATRICIO SAMPER GNECCO (KR 3 ESTE) X CL 9,CANDELARIA,"VEHICULAR, PEATONAL",SIN,2004-10-07
-74.076256399999977,4.594505050000066,946,KR 6 X CL 7,CANDELARIA,VEHICULAR,SIN,1998-09-05
-74.083670339999969,4.614476660000037,558,KR 22 X AV CIUDAD DE LIMA (AC 19),LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1996-03-15
-74.082254679999949,4.61602079000005,548,KR 22 X AV FERROCARRIL DE OCCIDENTE (AC 22),LOS MARTIRES,VEHICULAR,SIN,2000-02-16
-74.079025909999984,4.610715580000033,532,KR 17 X AV CIUDAD DE LIMA (AC 19),LOS MARTIRES,VEHICULAR,SIN,2005-06-20
-74.077649849999943,4.612550930000054,519,KR 17 X CL 22,LOS MARTIRES,VEHICULAR,SIN,1984-01-10
-74.078454869999973,4.616349620000051,524,AV MARISCAL SUCRE (AK 19) X CL 23,LOS MARTIRES,VEHICULAR,SIN,1993-12-22
-74.078352885999948,4.61628213900002,1174,AV MARISCAL SUCRE (AK 19) X DG 23BIS Y CL 23,LOS MARTIRES,VEHICULAR,SIN,1993-12-22
-74.070949619999965,4.602647730000058,390,KR 5 X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1998-06-30
-74.072300789999986,4.603502680000076,421,KR 7 X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-04-23
-74.071923449999986,4.604389920000074,411,KR 7 X CL 18,SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-03-01
-74.070137109999962,4.604479260000062,375,KR 5 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-01-03
-74.068843449999974,4.603567500000054,340,KR 4 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-02-26
-74.072225209999942,4.605817170000023,419,KR 8 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
-74.071541249999939,4.605393670000069,401,KR 7 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1994-06-01
-74.074799889999952,4.605184894000047,479,AV FERNANDO MAZUERA (AK 10) X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-02-25
-74.075266299999953,4.608030740000061,485,KR 13 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-03-02
-74.073857799999985,4.60695110000006,456,AV FERNANDO MAZUERA (AK 10) X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1978-08-16
-74.073074259999942,4.606412470000066,440,KR 9 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
-74.074419399999954,4.60739398000004,475,KR 12 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-05-23
-74.074648639999964,4.608802980000064,478,KR 13 X CL 20,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
-74.072950739999953,4.609346080000023,438,KR 12 X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
-74.073233619999939,4.610513250000054,442,KR 13 X CL 23,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-12-06
-74.074266399999942,4.61266229000006,468,AV CARACAS (AK 14) X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,2001-01-15
-74.072112580999942,4.609914330000038,413,AV FERNANDO MAZUERA (AK 10) X CL 23,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-06-12
-74.070872579999957,4.610412610000026,388,KR 9 X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-08-30
-74.072550129999968,4.611341650000043,427,KR 13 X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-12-06
-74.072578169999986,4.609132020000061,429,AV FERNANDO MAZUERA (AK 10) X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
-74.071863379999968,4.60868497000007,408,KR 9 X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-09-28
-74.069144309999956,4.60705334000005,348,KR 5 X CL 22,SANTA FE,VEHICULAR,SIN,1993-09-28
-74.070727689999956,4.60805055000003,385,KR 7 X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-05-05
-74.070440519999977,4.609093450000046,379,KR 7 X CL 23,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-05-05
-74.075277569999969,4.610674450000033,487,AV CARACAS (AK 14) X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-12-01
-74.076377759999957,4.613321530000064,504,KR 17 X CL 23,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1994-10-11
-74.068651289999934,4.608017220000022,338,KR 5 X CL 23,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-09-28
-74.068237087999989,4.608837023000035,327,KR 5 X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-04-25
-74.06140880199996,4.602932331000034,210,AV JIMENEZ (CL 22) X FUNICULAR,CANDELARIA,"VEHICULAR, PEATONAL","BOTON, SONORO",1989-05-16
-74.062488309999935,4.603322280000043,225,AV PATRICIO SAMPER GNECCO (KR 1 ESTE) X AV JIMENEZ (CL 22),CANDELARIA,VEHICULAR,SIN,1989-05-16
-74.067189429999985,4.612944820000052,316,KR 5 X CL 26C,SANTA FE,"VEHICULAR, PEATONAL",SIN,1989-10-10
-74.066982369999948,4.613779120000061,304,KR 5 X CL 27,SANTA FE,"VEHICULAR, PEATONAL",SIN,1989-10-10
-74.079107369999974,4.619478160000028,531,KR 24 X CL 24 ,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,2006-10-25
-74.078718639999977,4.61815112000005,527,KR 19B X DG 23BIS,LOS MARTIRES,VEHICULAR,SIN,1994-05-04
-74.070194719999961,4.61002897000003,373,KR 7 X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-08-30
-74.071012318999976,4.614185145000022,383,KR 13 X CL 26A,SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-06-26
-74.069412028999977,4.613922541000022,357,AV FERNANDO MAZUERA (AK 10) Y KR 7 X CL 27,SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-08-30
-74.069124779999981,4.615142910000031,352,AV ALBERTO LLERAS CAMARGO (AK 7) X CL 28,SANTA FE,"VEHICULAR, PEATONAL","BOTON, SONORO",1993-08-30
-74.070130179999978,4.615371260000074,366,KR 13 X CL 28 ,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-06-26
-74.077958069999966,4.62906404000006,520,AK 28 X CL 39A,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-05-04
-74.074908249999964,4.618515900000034,483,AV MARISCAL SUCRE (AK 19) X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1993-01-07
-74.075757259999989,4.619786790000035,497,KR 19B X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1997-04-13
-74.074954079999941,4.620243180000045,481,KR 19B X AC 28,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1993-01-01
-74.074293839999939,4.620389350000039,470,AV MARISCAL SUCRE (AK 19) X AC 32,TEUSAQUILLO,VEHICULAR,SIN,1993-07-01
-74.074409229999958,4.623882740000056,471,KR 20 X AV TEUSAQUILLO (AC 34),TEUSAQUILLO,VEHICULAR,SIN,1993-09-29
-74.078311499999984,4.618441560000065,522,KR 19B X CL 24,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1994-05-04
-74.080599499999948,4.621796110000048,542,AV GENERAL SANTANDER (AK 27) X CL 24 Y DG 24BIS,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,2004-02-17
-74.08049946999995,4.624116650000076,1146,AV TEUSAQUILLO (AC 25) X DG 24BIS ,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2009-03-13
-74.078749799999969,4.624002770000061,529,AV TEUSAQUILLO (AC 34) X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2012-03-02
-74.08307511999999,4.630122650000032,555,KR 33 X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",VIDEO DETECTOR,1997-04-11
-74.077471429999946,4.627677350000056,517,AK 28 X CL 39,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-05-04
-74.068828899999971,4.617946250000045,344,AV ALBERTO LLERAS CAMARGO (AK 7) Y KR 13 X CL 32,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-09-09
-74.075262179999982,4.594153050000045,945,KR 5 X CL 7,CANDELARIA,"VEHICULAR, PEATONAL",SIN,1998-09-05
-74.074192179999955,4.593961040000067,944,KR 4 X CL 7,CANDELARIA,"VEHICULAR, PEATONAL",SIN,1998-09-05
-74.069552979999969,4.619738080000047,1180,KR 13A X CL 32,SANTA FE,"VEHICULAR, PEATONAL","BOTON, SONORO",2010-03-01
-74.083699249999938,4.59126722000002,955,AV FERNANDO MAZUERA (AK 10) X CL 2,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-10-14
-74.084654979999982,4.597168990000057,563,AV CARACAS (AK 14) X AV DE LOS COMUNEROS (AC 6),SANTA FE,"VEHICULAR, PEATONAL",SIN,2000-12-19
-74.083309532999976,4.598926709000068,553,AV CARACAS (AK 14) X CL 8,SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-12-16
-74.079460169999948,4.595452820000048,949,KR 9 X CL 7,CANDELARIA,VEHICULAR,SIN,1995-04-10
-74.084383799999955,4.605363520000026,561,AV MARISCAL SUCRE (AK 18) X CL 12,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,2005-07-13
-74.083303559999933,4.606750060000024,557,AV MARISCAL SUCRE (AK 18) X AV COLON (AC 13),LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1993-09-16
-74.08245409999995,4.605988440000033,549,KR 17 X AV COLON (AC 13),LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1993-09-16
-74.078948929999967,4.60316339000002,530,KR 13 X AV JIMENEZ (CL 13),SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-03-09
-74.07983846999997,4.603756660000045,535,AV CARACAS (AK 14) X AV COLON (AC 13),SANTA FE,"VEHICULAR, PEATONAL",RFID TRANSMILENIO,2001-01-15
-74.078241769999977,4.602513350000038,521,KR 12 X AV JIMENEZ (CL 13),SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-03-09
-74.080268759999967,4.608959090000042,538,KR 17 X CL 17,LOS MARTIRES,VEHICULAR,SIN,2002-10-09
-74.078752219999956,4.605277460000025,526,AV CARACAS (AK 14) X CL 15,SANTA FE,VEHICULAR,SIN,1995-01-31
-74.074292989999947,4.600006710000059,469,KR 7 X CL 12B,CANDELARIA,"VEHICULAR, PEATONAL, BICIUSUARIOS","BOTON, SONORO",1994-05-30
-74.071944609999946,4.600842770000042,399,KR 5 X AV JIMENEZ (CL 13),CANDELARIA,"VEHICULAR, PEATONAL",SIN,1997-05-24
-74.070111619999977,4.600846850000039,370,KR 4 X AV JIMENEZ (CL 13),CANDELARIA,"VEHICULAR, PEATONAL",SIN,1994-06-14
-74.081688209999982,4.601173130000063,544,AV CARACAS (AK 14) X CL 10,SANTA FE,VEHICULAR,SIN,2001-01-15
-74.081115319999981,4.60211055000002,543,AV CARACAS (AK 14) X CL 11,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-05
-74.081499539999982,4.605166060000045,545,KR 16 X AV COLON (AC 13),LOS MARTIRES,EXCLUSIVA PEATONAL,SIN,2003-08-28
-74.074296939999954,4.602052710000066,474,KR 8 X AV JIMENEZ (CL 13),CANDELARIA,"VEHICULAR, PEATONAL",SIN,1993-07-06
-74.073346289999961,4.601480490000029,448,KR 7 X AV JIMENEZ (CL 13),CANDELARIA,"VEHICULAR, PEATONAL",SIN,1997-10-06
-74.07404226999995,4.604664790000072,465,KR 9 X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1998-06-30
-74.073203059999969,4.604087850000042,443,KR 8 X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1998-06-30
-74.076537069999972,4.606330310000033,506,KR 13 X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1994-12-05
-74.077447589999963,4.606960190000052,518,AV CARACAS (AK 14) X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-03-23
-74.071285769999974,4.623323810000045,396,KR 16 X AV TEUSAQUILLO (AC 34),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1984-05-05
-74.07223732999995,4.625170840000067,415,TV 17ABIS X CL 36,TEUSAQUILLO,"VEHICULAR, PEATONAL, BICIUSUARIOS",SIN,1994-12-07
-74.070994369999937,4.624944480000067,389,KR 16 X CL 36,TEUSAQUILLO,"VEHICULAR, PEATONAL, BICIUSUARIOS",SIN,1994-12-07
-74.069491399999947,4.622782090000044,356,AV CARACAS (AK 14) X AV TEUSAQUILLO (AC 34),SANTA FE,"VEHICULAR, PEATONAL",SIN,1998-01-06
-74.073683649999964,4.623751770000069,451,AV MARISCAL SUCRE (AK 19) X AV TEUSAQUILLO (AC 34),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1993-07-01
-74.073514219999936,4.624728300000072,464,AV MARISCAL SUCRE (AK 19) X DG 35BIS,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2009-03-13
-74.073393199999941,4.625394760000063,445,AV MARISCAL SUCRE (AK 19) X CL 36,TEUSAQUILLO,"VEHICULAR, PEATONAL, BICIUSUARIOS",SIN,1983-07-26
-74.071734649999939,4.61760423000004,405,AV CARACAS (AK 14) X DG 30,SANTA FE,"VEHICULAR, PEATONAL",SIN,2001-01-15
-74.072685669999942,4.620796860000041,432,KR 17 X AC 32,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1993-12-06
-74.071701689999941,4.620977720000042,404,KR 16 X AC 32,TEUSAQUILLO,VEHICULAR,SIN,1993-12-06
-74.073018779999984,4.627430410000045,436,AV MARISCAL SUCRE (AK 19) X CL 39,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1981-07-14
-74.075183099999947,4.63147377000007,482,AK 24 X CL 41,TEUSAQUILLO,VEHICULAR,SIN,1983-07-27
-74.07391875999997,4.633716310000068,458,KR 22 X AV FRANCISCO MIRANDA (AC 45),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1983-07-03
-74.070796899999948,4.626013000000057,386,KR 16 X CL 37,TEUSAQUILLO,VEHICULAR,SIN,1994-11-28
-74.072569749999957,4.630031550000069,423,AV MARISCAL SUCRE (AK 19) X CL 40,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2004-09-24
-74.072305959999937,4.631425980000074,418,AV MARISCAL SUCRE (AK 19) X DG 42A,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1989-10-11
-74.071947629999954,4.633359970000072,407,KR 19 X AV FRANCISCO MIRANDA (AC 45),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1996-06-26
-74.069127089999938,4.624621770000033,345,AV CARACAS (AK 14) X CL 36,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-05-19
-74.068824918999951,4.625839298000074,343,AV CARACAS (AK 14) X CL 37,SANTA FE,"VEHICULAR, PEATONAL",SIN,2000-12-15
-74.07517176999994,4.627756770000076,488,AK 24 X CL 39,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2004-09-27
-74.075031499999966,4.629158020000034,486,AK 24 X CL 39A,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1995-03-11
-74.073246679999954,4.626205690000063,441,AV MARISCAL SUCRE (AK 19) X CL 37,TEUSAQUILLO,VEHICULAR,SIN,1994-11-15
-74.073724709999965,4.627551360000041,452,KR 20 X CL 39,TEUSAQUILLO,VEHICULAR,SIN,1981-07-14
-74.153662129999987,4.59634359000006,876,KR 63 X AV DEL SUR (AC 57R S),CIUDAD BOLIVAR,"VEHICULAR, PEATONAL",SIN,1993-12-10
-74.150883387999954,4.595538660000045,1116,KR 62A X AV DEL SUR (CL 45A S)  ,TUNJUELITO,EXCLUSIVA PEATONAL,BOTON,2006-01-12
-74.161800219999975,4.603541970000038,899,AV CIUDAD DE VILLAVICENCIO (AK 71B) X CL 53C BIS S,BOSA,EXCLUSIVA PEATONAL,"BOTON, SONORO",2007-09-14
-74.164524909999955,4.614604410000027,907,AV PRIMERO DE MAYO (TV 78H) X CL 45 S,KENNEDY,"VEHICULAR, PEATONAL",SIN,1997-12-05
-74.161203229999956,4.61184245000004,897,KR 78 X AV CIUDAD DE VILLAVICENCIO (AC 43 S)  ,KENNEDY,"VEHICULAR, PEATONAL",SIN,2001-11-10
-74.150617789999956,4.645645460000026,865,AV CIUDAD DE CALI (AK 86) X AV CASTILLA (AC 8),KENNEDY,"VEHICULAR, PEATONAL","BOTON, SONORO",2006-09-27
-74.14486863999997,4.587986590000071,1111,AV BOYACA (TV 60) X DG 52 S Y DG 52A S,TUNJUELITO,"VEHICULAR, PEATONAL",SIN,1996-08-06
-74.145388689999947,4.590936100000022,1113,AV BOYACA (TV 60) X DG 51 S,TUNJUELITO,"VEHICULAR, PEATONAL",SIN,1993-12-07
-74.15096804999996,4.621887990000062,868,AV  POPORO QUIMBAYA (KR 78B) X CL 37 S,KENNEDY,"VEHICULAR, PEATONAL",SIN,1988-12-28
-74.157969789999981,4.627616590000059,1169,AV AGOBERTO MEJIA CIFUENTES (AK 80) X PUERTA 5 CORABASTOS (CL 38 S),KENNEDY,"VEHICULAR, PEATONAL",SIN,2009-12-23
-74.156934399999955,4.62875015000003,1170,AV AGOBERTO MEJIA CIFUENTES (AK 80) X PUERTA 4 CORABASTOS (CL 36 S),KENNEDY,"VEHICULAR, PEATONAL",SIN,2009-12-23
-74.154731969999943,4.63150335000006,884,AV AGOBERTO MEJIA CIFUENTES (AK 80) X CL 26 S,KENNEDY,"VEHICULAR, PEATONAL",SIN,2008-04-16
-74.138441649999947,4.589800480000065,1098,TV 44 X CL 50B S,TUNJUELITO,VEHICULAR,SIN,2000-09-09
-74.056218189999981,4.657090780000033,157,KR 9 X CL 73,CHAPINERO,VEHICULAR,SIN,1998-01-06
-74.135871329999986,4.591936690000068,1093,KR 52A X DG 47A S,TUNJUELITO,"VEHICULAR, PEATONAL",SIN,2004-09-09
-74.137806313999988,4.595402046000061,826,AV DEL CONGRESO EUCARISTICO (AK 68) X AV DEL SUR (CL 45A S),TUNJUELITO,EXCLUSIVA PEATONAL,"BOTON, SONORO",2005-04-22
-74.136010989999988,4.598558610000055,821,AV DEL CONGRESO EUCARISTICO (AK 68) X CL 39F S,KENNEDY,"VEHICULAR, PEATONAL",SIN,1995-01-06
